ie(mA),ir(u),ic(mA),Ic*Ic,Erro,,,
0.02,36.8,0.03,0.010869565217391,0.019130434782609,,,6,06630035524124
0.025,36.8,0.038,0.016983695652174,0.021016304347826,,,
0.03,36.8,0.046,0.024456521739131,0.02154347826087,,,
0.035,36.8,0.054,0.033288043478261,0.020711956521739,,,
0.04,36.8,0.064,0.043478260869565,0.020521739130435,,,
0.045,36.7,0.072,0.055177111716621,0.016822888283379,,,
0.048,35.8,0.081,0.064357541899441,0.016642458100559,,,
0.05,36.7,0.081,0.068119891008174,0.012880108991826,,,
0.055,36.7,0.089,0.082425068119891,0.006574931880109,,,
0.06,36.7,0.098,0.098092643051771,-9,26430517711047E-05,,,
0.065,36.6,0.107,0.115437158469945,-0.008437158469945,,,
0.07,36.1,0.115,0.135734072022161,-0.020734072022161,,,
0.071,36.5,0.126,0.138109589041096,-0.012109589041096,,,
0.075,36.0.125,0.15625,-0.03125,,,
0.08,36.1,0.132,0.177285318559557,-0.045285318559557,,,
0.085,36.2,0.159,0.199585635359116,-0.040585635359116,,,
0.091,36.0.15,0.230027777777778,-0.080027777777778,,,
0.095,36.6,0.147,0.246584699453552,-0.099584699453552,,,
0.105,36.6,0.162,0.301229508196721,-0.139229508196721,,,
0.11,36.5,0.17,0.331506849315068,-0.161506849315069,,,
0.115,36.6,0.179,0.361338797814208,-0.182338797814208,,,
0.12,36.6,0.187,0.39344262295082,-36.413,,,
