X--Trace 1::[I(Q4_A[IC])],Y--Trace 1::[I(Q4_A[IC])]
2e-005,7.96047e-006
2.1e-005,8.80444e-006
2.2e-005,9.69074e-006
2.3e-005,1.06193e-005
2.4e-005,1.159e-005
2.5e-005,1.26028e-005
2.6e-005,1.36578e-005
2.7e-005,1.47548e-005
2.8e-005,1.58939e-005
2.9e-005,1.70748e-005
3e-005,1.82977e-005
3.1e-005,1.95623e-005
3.2e-005,2.08687e-005
3.3e-005,2.22168e-005
3.4e-005,2.36065e-005
3.5e-005,2.50378e-005
3.6e-005,2.65105e-005
3.7e-005,2.80247e-005
3.8e-005,2.95802e-005
3.9e-005,3.11769e-005
4e-005,3.28148e-005
4.1e-005,3.44938e-005
4.2e-005,3.62139e-005
4.3e-005,3.79749e-005
4.4e-005,3.97767e-005
4.5e-005,4.16193e-005
4.6e-005,4.35025e-005
4.7e-005,4.54264e-005
4.8e-005,4.73908e-005
4.9e-005,4.93956e-005
5e-005,5.14407e-005
5.1e-005,5.3526e-005
5.2e-005,5.56515e-005
5.3e-005,5.7817e-005
5.4e-005,6.00224e-005
5.5e-005,6.22677e-005
5.6e-005,6.45527e-005
5.7e-005,6.68773e-005
5.8e-005,6.92415e-005
5.9e-005,7.16451e-005
6e-005,7.40881e-005
6.1e-005,7.65702e-005
6.2e-005,7.90915e-005
6.3e-005,8.16517e-005
6.4e-005,8.42509e-005
6.5e-005,8.68888e-005
6.6e-005,8.95654e-005
6.7e-005,9.22806e-005
6.8e-005,9.50342e-005
6.9e-005,9.78261e-005
7e-005,0.000100656
7.1e-005,0.000103524
7.2e-005,0.000106431
7.3e-005,0.000109375
7.4e-005,0.000112357
7.5e-005,0.000115376
7.6e-005,0.000118433
7.7e-005,0.000121527
7.8e-005,0.000124659
7.9e-005,0.000127827
8e-005,0.000131033
8.1e-005,0.000134275
8.2e-005,0.000137555
8.3e-005,0.000140871
8.4e-005,0.000144223
8.5e-005,0.000147612
8.6e-005,0.000151037
8.7e-005,0.000154498
8.8e-005,0.000157995
8.9e-005,0.000161528
9e-005,0.000165096
9.1e-005,0.0001687
9.2e-005,0.00017234
9.3e-005,0.000176015
9.4e-005,0.000179725
9.5e-005,0.00018347
9.6e-005,0.00018725
9.7e-005,0.000191065
9.8e-005,0.000194915
9.9e-005,0.000198799
0.0001,0.000202717
