X--Trace 1::[I(Q4_A[IC])],Y--Trace 1::[I(Q4_A[IC])],X--Trace 2::[I(Q4_A[IB])],Y--Trace 2::[I(Q4_A[IB])]
2e-005,7.96047e-006,2e-005,1.46385e-007
2.1e-005,8.80444e-006,2.1e-005,1.58423e-007
2.2e-005,9.69074e-006,2.2e-005,1.70839e-007
2.3e-005,1.06193e-005,2.3e-005,1.83631e-007
2.4e-005,1.159e-005,2.4e-005,1.96794e-007
2.5e-005,1.26028e-005,2.5e-005,2.10325e-007
2.6e-005,1.36578e-005,2.6e-005,2.24221e-007
2.7e-005,1.47548e-005,2.7e-005,2.38479e-007
2.8e-005,1.58939e-005,2.8e-005,2.53096e-007
2.9e-005,1.70748e-005,2.9e-005,2.68069e-007
3e-005,1.82977e-005,3e-005,2.83396e-007
3.1e-005,1.95623e-005,3.1e-005,2.99074e-007
3.2e-005,2.08687e-005,3.2e-005,3.151e-007
3.3e-005,2.22168e-005,3.3e-005,3.31473e-007
3.4e-005,2.36065e-005,3.4e-005,3.4819e-007
3.5e-005,2.50378e-005,3.5e-005,3.65249e-007
3.6e-005,2.65105e-005,3.6e-005,3.82648e-007
3.7e-005,2.80247e-005,3.7e-005,4.00385e-007
3.8e-005,2.95802e-005,3.8e-005,4.18457e-007
3.9e-005,3.11769e-005,3.9e-005,4.36864e-007
4e-005,3.28148e-005,4e-005,4.55602e-007
4.1e-005,3.44938e-005,4.1e-005,4.74671e-007
4.2e-005,3.62139e-005,4.2e-005,4.94068e-007
4.3e-005,3.79749e-005,4.3e-005,5.13792e-007
4.4e-005,3.97767e-005,4.4e-005,5.33841e-007
4.5e-005,4.16193e-005,4.5e-005,5.54214e-007
4.6e-005,4.35025e-005,4.6e-005,5.74908e-007
4.7e-005,4.54264e-005,4.7e-005,5.95922e-007
4.8e-005,4.73908e-005,4.8e-005,6.17255e-007
4.9e-005,4.93956e-005,4.9e-005,6.38904e-007
5e-005,5.14407e-005,5e-005,6.6087e-007
5.1e-005,5.3526e-005,5.1e-005,6.83149e-007
5.2e-005,5.56515e-005,5.2e-005,7.0574e-007
5.3e-005,5.7817e-005,5.3e-005,7.28643e-007
5.4e-005,6.00224e-005,5.4e-005,7.51855e-007
5.5e-005,6.22677e-005,5.5e-005,7.75375e-007
5.6e-005,6.45527e-005,5.6e-005,7.99201e-007
5.7e-005,6.68773e-005,5.7e-005,8.23333e-007
5.8e-005,6.92415e-005,5.8e-005,8.47769e-007
5.9e-005,7.16451e-005,5.9e-005,8.72508e-007
6e-005,7.40881e-005,6e-005,8.97547e-007
6.1e-005,7.65702e-005,6.1e-005,9.22886e-007
6.2e-005,7.90915e-005,6.2e-005,9.48524e-007
6.3e-005,8.16517e-005,6.3e-005,9.74458e-007
6.4e-005,8.42509e-005,6.4e-005,1.00069e-006
6.5e-005,8.68888e-005,6.5e-005,1.02721e-006
6.6e-005,8.95654e-005,6.6e-005,1.05403e-006
6.7e-005,9.22806e-005,6.7e-005,1.08114e-006
6.8e-005,9.50342e-005,6.8e-005,1.10854e-006
6.9e-005,9.78261e-005,6.9e-005,1.13623e-006
7e-005,0.000100656,7e-005,1.16421e-006
7.1e-005,0.000103524,7.1e-005,1.19247e-006
7.2e-005,0.000106431,7.2e-005,1.22102e-006
7.3e-005,0.000109375,7.3e-005,1.24986e-006
7.4e-005,0.000112357,7.4e-005,1.27898e-006
7.5e-005,0.000115376,7.5e-005,1.30838e-006
7.6e-005,0.000118433,7.6e-005,1.33806e-006
7.7e-005,0.000121527,7.7e-005,1.36801e-006
7.8e-005,0.000124659,7.8e-005,1.39825e-006
7.9e-005,0.000127827,7.9e-005,1.42876e-006
8e-005,0.000131033,8e-005,1.45955e-006
8.1e-005,0.000134275,8.1e-005,1.49062e-006
8.2e-005,0.000137555,8.2e-005,1.52195e-006
8.3e-005,0.000140871,8.3e-005,1.55356e-006
8.4e-005,0.000144223,8.4e-005,1.58544e-006
8.5e-005,0.000147612,8.5e-005,1.61759e-006
8.6e-005,0.000151037,8.6e-005,1.65001e-006
8.7e-005,0.000154498,8.7e-005,1.6827e-006
8.8e-005,0.000157995,8.8e-005,1.71565e-006
8.9e-005,0.000161528,8.9e-005,1.74886e-006
9e-005,0.000165096,9e-005,1.78234e-006
9.1e-005,0.0001687,9.1e-005,1.81609e-006
9.2e-005,0.00017234,9.2e-005,1.85009e-006
9.3e-005,0.000176015,9.3e-005,1.88435e-006
9.4e-005,0.000179725,9.4e-005,1.91887e-006
9.5e-005,0.00018347,9.5e-005,1.95366e-006
9.6e-005,0.00018725,9.6e-005,1.98869e-006
9.7e-005,0.000191065,9.7e-005,2.02399e-006
9.8e-005,0.000194915,9.8e-005,2.05953e-006
9.9e-005,0.000198799,9.9e-005,2.09533e-006
0.0001,0.000202717,0.0001,2.13139e-006
