X--Trace 1::[V(vc1)],Y--Trace 1::[V(vc1)]
0,4.6821
1,4.65294
2,4.62142
3,4.58737
4,4.55064
5,4.51105
6,4.46842
7,4.42256
8,4.37328
9,4.32039
10,4.26366
11,4.20291
12,4.1379
13,4.06842
14,3.99425
15,3.91515
16,3.8309
17,3.74128
18,3.64604
19,3.54497
20,3.43783
21,3.3244
22,3.20447
23,3.07781
24,2.94423
25,2.80353
26,2.65552
27,2.50001
28,2.33686
29,2.16589
30,1.98699
31,1.80002
32,1.60487
33,1.40147
34,1.18974
35,0.969624
36,0.74109
37,0.504131
38,0.286445
39,0.231753
40,0.213434
41,0.202785
42,0.195389
43,0.189781
44,0.185301
45,0.181596
46,0.178455
47,0.175743
48,0.173367
49,0.171261
50,0.169378
51,0.167681
52,0.166141
53,0.164737
54,0.16345
55,0.162265
56,0.16117
57,0.160156
58,0.159214
59,0.158337
60,0.157517
